English,Arabic
circumstance,ظرف
cite,استشهد
citizen,مواطن
city,مدينة
civil,مدني
civilian,المدني
claim,مطالبة
class,صف دراسي
classic,الكلاسيكية
classroom,قاعة الدراسة
clean,ينظف
clear,صافي
clearly,بوضوح
client,زبون
climate,مناخ
climb,تسلق
clinic,عيادة
clinical,مرضي
clock,ساعة
close,أغلق
closely,بعناية
closer,أقرب
clothes,ملابس
clothing,ملابس
cloud,غيم
club,النادي
clue,فكرة
cluster,العنقودية
coach,مدرب رياضي
coal,فحم
coalition,الائتلاف
coast,ساحل
coat,معطف
code,الشفرة
coffee,قهوة
cognitive,الإدراكي
cold,البرد
collapse,انهيار
colleague,كلية
collect,يجمع
collection,مجموعة
collective,جماعي
college,كلية
colonial,استعمار
color,اللون
column,عمودي
combination,مزيج
combine,يجمع
come,يأتي
comedy,كوميديا
comfort,راحة
comfortable,مريح
command,أمر
commander,القائد
comment,تعليق
commercial,تجاري
commission,لجنة
commit,ارتكب
commitment,التزام
committee,لجنة
common,مشترك
communicate,نقل
communication,الاتصالات
community,تواصل اجتماعي
company,شركة
compare,قارن
comparison,مقارنة
compete,تنافس
competition,منافسة
competitive,تنافسي
competitor,منافس
complain,تذمر
complaint,شكوى
complete,مكتمل
completely,تماما
complex,مركب
complicated,معقد
component,مكون
compose,مؤلف موسيقى
composition,تكوين
comprehensive,شامل
computer,الحاسوب
concentrate,يركز
concentration,تركيز
concept,مفهوم
concern,الاهتمام
concerned,المعنية
concert,حفلة موسيقية
conclude,نستنتج
conclusion,استنتاج
concrete,الخرسانة
condition,شرط
conduct,سلوك
conference,مؤتمر
confidence,الثقة
confident,موثوق
confirm,تؤكد
conflict,نزاع
confront,مواجهة
confusion,الالتباس
Congress,الكونغرس
congressional,الكونجرس
connect,الاتصال
connection,الإتصال
consciousness,الوعي
consensus,إجماع
consequence,عاقبة
conservative,تحفظا
consider,انصح
considerable,ضخم
consideration,الاعتبار
consist,تتكون
consistent,ثابتة
constant,ثابت
constantly,باستمرار
constitute,تشكل
constitutional,الدستورية
construct,بناء
construction,اعمال بناء
consultant,مستشار
consume,تستهلك
consumer,مستهلك
consumption,استهلاك
contact,اتصل
contain,يحتوي
container,وعاء
contemporary,معاصر
content,المحتوى
contest,منافسة
context,سياق الكلام
continue,استمر
continued,واصلت
contract,اتفافية
contrast,التباين
contribute,مساهمة
contribution,مساهمة
control,مراقبة
controversial,مثيرة للجدل
controversy,الجدل
convention,اتفاقية. معاهدة
conventional,عادي
conversation,محادثة
convert,يتحول
conviction,قناعة
convince,يقنع
cook,يطبخ
cookie,بسكويت
cooking,طبخ
cool,بارد
cooperation,تعاون
cop,شرطي
cope,التأقلم
copy,ينسخ
core,جوهر
corn,حبوب ذرة
corner,ركن
corporate,شركة كبرى
corporation,شركة
correct,صيح
correspondent,مراسل
cost,كلفة
cotton,القطن
couch,أريكة
could,استطاع
council,مجلس
counselor,مستشار
count,عدد
counter,عداد
country,بلد
county,مقاطعة
couple,زوج
courage,شجاعة
course,مسار
court,ملعب تنس
cousin,ولد عم
cover,غطاء، يغطي
coverage,تغطية
cow,بقرة
crack,كسر
craft,حرفة
crash,يصطدم
crazy,مجنون
cream,كريم
create,يزيد
creation,خلق
creative,خلاق
creature,مخلوق
credit,الإئتمان
crew,طاقم العمل
crime,جريمة
criminal,مجرم
crisis,مصيبة
criteria,المعايير
critic,الناقد
critical,حرج
criticism,نقد
criticize,ينتقد
crop,ا & قتصاص
cross,تعبر
crowd,يحشد
crucial,مهم
cry,بكاء
cultural,الثقافية
culture,حضاره
cup,فنجان
curious,فضولي
current,تيار
currently,حاليا
curriculum,منهاج دراسي
custom,مخصص
customer,عميل
cut,يقطع
cycle,دورة
dad,بابا
daily,اليومي
damage,تلف
dance,رقص
danger,خطر
dangerous,خطير >> صفة
dare,تجرؤ
dark,داكن
darkness,الظلام
data,البيانات
date,تاريخ
daughter,بنت
day,يوم
dead,في ذمة الله تعالى
deal,صفقة
dealer,تاجر
dear,عزيزي
death,الموت
debate,النقاش
debt,دين
decade,عقد
decide,قرر
decision,قرار
deck,ظهر السفينة
declare,يعلن
decline,يتناقص
decrease,ينقص
deep,عميق
deeply,بشدة
deer,الغزال
defeat,هزيمة
defend,الدفاع
defendant,المدعى عليه
defense,دفاع
defensive,دفاعي
deficit,عجز
define,حدد
definitely,بالتااكيد
definition,تعريف
degree,الدرجة العلمية
delay,تأخير
deliver,ايصال
delivery,توصيل
demand,الطلب
democracy,ديمقراطية
Democrat,الديموقراطي
democratic,الديمقراطية
demonstrate,يوضح
demonstration,برهنة
deny,ينكر
department,قسم
depend,تعتمد
dependent,متكل
depending,اعتمادا
depict,تصف
depression,كآبة
depth,عمق
deputy,نائب
derive,استخلاص
describe,يصف
description,وصف
desert,صحراء
deserve,استحق
design,التصميم
designer,مصمم
desire,رغبة
desk,طاولة مكتب
desperate,متحرق إلى
despite,بالرغم من
destroy,هدم
destruction,دمار
detail,تفاصيل
detailed,مفصلة
detect,يكشف
determine,حدد
develop,طور
developing,تطوير
development,تطوير
device,جهاز
devote,تكريس
dialogue,حوار
die,موت
diet,حمية
differ,اختلف
difference,فرق
different,مختلف
differently,بشكل مختلف
difficult,صعبة
difficulty,صعوبة
dig,حفر
digital,الرقمية
dimension,البعد
dining,تناول الطعام
dinner,وجبة عشاء
direct,مباشرة
direction,اتجاه
directly,مباشرة
director,مدير
dirt,التراب
dirty,متسخ
disability,عجز
disagree,تعارض
disappear,يختفي
disaster,كارثة
discipline,انضباط
discourse,الحوار
discover,يكتشف
discovery,اكتشاف
discrimination,التمييز
discuss,مناقشة
discussion,نقاش
disease,مرض
dish,طبق
dismiss,رفض
disorder,اضطراب
display,عرض
dispute,خلاف
distance,مسافه: بعد
distant,بعيدة
distinct,خامد
distinction,امتياز
distinguish,تميز
distribute,نشر
distribution,توزيع
district,منطقة
diverse,متنوع
diversity,تنوع
divide,يقسم
division,قطاع
divorce,طلاق
DNA,الحمض النووي
do,فعل
doctor,طبيب
document,وثيقة
dog,كلب
domestic,المنزلي
dominant,مهيمن
dominate,تسيطر
door,باب
double,مزدوج
doubt,شك
down,تحت
downtown,وسط البلد
dozen,دزينة
draft,مشروع
drag,يجر
drama,دراما
dramatic,دراماتيكي
dramatically,بشكل كبير
draw,يرسم
drawing,رسم
dream,حلم
dress,فستان
drink,يشرب
drive,قائد
driver,سائق
drop,قطرة
drug,المخدرات
dry,جاف
due,بسبب
during,خلال
dust,تراب
duty,واجب
each,كل
eager,حريص
ear,أذن
early,مبكرا
earn,يكسب
earnings,الأرباح
earth,الارض
ease,يسهل
easily,بسهولة
east,الشرق
eastern,الشرقية
easy,سهل
eat,تأكل
economic,اقتصادي
economics,اقتصاديات
economist,الاقتصاد
economy,اقتصاد
edge,حافة
edition,الإصدار
editor,محرر
educate,تعليم
education,التعليم
educational,تعليمي
educator,المعلم
effect,تأثير
effective,فعال
effectively,على نحو فعال
efficiency,نجاعة
efficient,فعالة
effort,مجهود
egg,بيضة
eight,ثمانية
either,إما
elderly,كبار السن
elect,منتخب
election,انتخاب
electric,كهربائي
electricity,كهرباء
electronic,الإلكترونية
element,عنصر
elementary,ابتدائي
eliminate,القضاء
elite,نخبة
else,آخر
elsewhere,في مكان آخر
e-mail,البريد الإلكتروني
embrace,تعانق
emerge,يظهر
emergency,حالة طوارئ
emission,انبعاث
emotion,المشاعر
emotional,عاطفي
emphasis,التركيز
emphasize,التأكيد على
employ,توظيف
employee,الموظف
employer,صاحب العمل
employment,توظيف
empty,فارغة
enable,ممكن
encounter,يواجه .. ينجز
encourage,التشجيع
end,نهاية
enemy,العدو
energy,طاقة
enforcement,إجباري
engage,يشترك - ينخرط
engine,محرك
engineer,مهندس
engineering,هندسة
English,إنجليزي
enhance,تعزز
enjoy,التمتع
enormous,ضخم
enough,يكفي
ensure,التأكد من
enter,أدخل
enterprise,مشروع - مغامرة
entertainment,تسلية
entire,بأكمله
entirely,تماما
entrance,مدخل
entry,دخول
environment,بيئة
environmental,البيئة
episode,حلقة
equal,مساو
equally,على قدم المساواة
equipment,معدات
era,حقبة
error,خطأ
escape,هرب
especially,خصوصا
essay,مقال
essential,أساس
essentially,بشكل أساسي
establish,إنشاء
establishment,مؤسسة
estate,ملكية
estimate,تقدير
etc,إلخ
ethics,أخلاق
ethnic,عرقي
European,الأوروبي
evaluate,تقييم
evaluation,تقييم
even,حتى في
evening,مساء
event,حدث
eventually,في النهاية
ever,أبدا
every,كل
everybody,الجميع
everyday,كل يوم
everyone,كل واحد
everything,كل شىء
everywhere,في كل مكان
evidence,دليل
evolution,تطور
evolve,تطور
exact,بالضبط
exactly,بالضبط
examination,فحص
examine,يفحص
example,مثال
exceed,يتجاوز
excellent,ممتاز
except,إلا
exception,استثناء
exchange,تبادل
exciting,مثير
executive,تنفيذي
exercise,ممارسه الرياضه
exhibit,يعرض
exhibition,معرض
exist,يوجد
existence,وجود
existing,موجود
expand,وسعت
expansion,توسع
expect,توقع
expectation,توقع
expense,مصروف
expensive,مكلفة
experience,خبرة
experiment,تجربة
expert,خبير
explain,يشرح
explanation,تفسير
explode,ينفجر
explore,يكتشف
explosion,انفجار
expose,تعرض
exposure,مكشوف
express,التعبير
expression,التعبير
extend,يمتد
extension,تمديد
extensive,شاسع
extent,مدى
external,خارجي
extra,إضافي
extraordinary,استثنائي
extreme,شديد
extremely,الى ابعد حد
eye,عين
fabric,قماش
face,وجه
facility,منشأة
fact,حقيقة
factor,عامل
factory,مصنع
faculty,الأساتذه
fade,يختفي
fail,يفشل
failure,بالفشل
fair,عدل
fairly,تماما
faith,إيمان
fall,تقع
FALSE,خاطئة
familiar,معروف
family,أسرة
famous,مشهور
fan,المعجب
fantasy,خيالي
far,بعيد
farm,مزرعة
farmer,مزارع
fashion,موضه
fast,بسرعة
fat,سمين
fate,قدر
father,الآب
fault,عيب
favor,محاباة
favorite,المفضل
fear,يخاف
feature,خاصية
federal,الفيدرالية
fee,مصاريف
feed,تغذية
feel,يشعر
feeling,شعور
fellow,زميل
female,أنثى
fence,سور
few,قليل
fewer,أقل
fiber,الأساسية
fiction,خيال
field,حقل
fifteen,خمسة عشر
fifth,خامسا
fifty,خمسون
fight,يعارك
fighter,مقاتل
fighting,قتال
figure,الشكل
file,ملف
fill,يملأ
film,فيلم
final,أخير
finally,أخيرا
finance,المالية
financial,الأمور المالية
find,تجد
finding,العثور على
fine,بخير
finger,اصبع اليد
finish,ينهي
fire,إطلاق النار
firm,مؤسسة
first,أول
fish,سمكة
fishing,صيد السمك
fit,لائق بدنيا
fitness,اللياقه البدنيه
five,خمسة
fix,يصلح
flag,علم
flame,لهب
flat,مسطحة
flavor,نكهة
flee,فرار
flesh,لحم
flight,طيران
float,تطفو
floor,أرضية
flow,تدفق
flower,زهرة
fly,يطير
focus,التركيز
folk,قوم
follow,إتبع
following,التالية
food,غذاء
foot,قدم
football,كرة القدم
for,ل
force,فرض
foreign,أجنبي
forest,غابة
forever,مدى الحياة
forget,ننسى
form,شكل
formal,رسمي
formation,تشكيل
former,سابق
formula,معادلة
forth,من الواضح
fortune,حظ
forward,إلى الأمام
found,وجدت
foundation,المؤسسة
founder,مؤسس
four,أربعة
fourth,رابعا
frame,الإطار
framework,إطار العمل
free,مجانا
freedom,الحرية
freeze,تجميد
French,فرنسي
frequency,تردد
frequent,متكرر
frequently,في كثير من الأحيان
fresh,طازج
friend,صديق
friendly,ودود
friendship,صداقة
from,من عند
front,أمام
fruit,فاكهة
frustration,إحباط
fuel,الوقود
full,ممتلىء
fully,تماما
fun,مرح
function,وظيفة
fund,الأموال
fundamental,أساسي
funding,التمويل
funeral,مأتم
funny,مضحك
furniture,أثاث المنزل
furthermore,بالإضافة إلى
future,مستقبل
gain,ربح
galaxy,جالاكسي
gallery,صالة عرض
game,لعبه
gang,عصابة
gap,الفارق
garage,كراج
garden,حديقة
garlic,ثوم
gas,غاز
gate,بوابة
gather,يجتمع
gay,جاي
gaze,تحديق
gear,هيأ
gender,جنس تذكير أو تأنيث
gene,جين
general,جنرال لواء
generally,عموما
generate,انشاء
generation,توليد
genetic,وراثي
gentleman,انسان محترم
gently,بلطف
German,ألمانية
gesture,إيماءة
get,احصل على
ghost,شبح
giant,عملاق
gift,هدية مجانية
gifted,موهوب
girl,فتاة
girlfriend,صديقة
give,يعطى
given,منح
glad,مسرور
glance,يلمح
glass,زجاج
global,عالمي
glove,قفاز
go,يذهب
goal,هدف
God,الله
gold,ذهب
golden,ذهبي
golf,جولف
good,حسن
government,حكومة
governor,محافظ حاكم
grab,إختطاف
grade,رتبة
gradually,تدريجيا
graduate,متخرج
grain,قمح
grand,كبير
grandfather,جد
grandmother,جدة
grant,منحة
grass,عشب
grave,خطير
gray,رمادي
great,رائعة
greatest,أعظم
green,لون أخضر
grocery,خضروات
ground,أرض
group,مجموعة
grow,تنمو
growing,نمو
growth,نمو
guarantee,ضمان
guard,حارس
guess,خمن
guest,الزبون
guide,يرشد
guideline,المبدأ التوجيهي
guilty,مذنب
gun,بندقية
guy,شاب
habit,عادة
habitat,الموائل
hair,شعر
half,نصف
hall,قاعة
hand,كف
handful,حفنة
handle,يتعامل
hang,يشنق
happen,يحدث
happy,سعيدة
hard,الصعب
hardly,بالكاد
hat,قبعة
hate,اكرهه
have,لديك
he,هو
head,رئيس
headline,العنوان الرئيسي
headquarters,مقر
health,الصحة
healthy,صحي
hear,يسمع
hearing,سمع
heart,قلب
heat,الحرارة
heaven,سماء
heavily,بشدة
heavy,ثقيل
heel,كعب
height,ارتفاع
helicopter,هليكوبتر
hell,الجحيم
hello,أهلا
help,يساعد
helpful,معاون، مساعد، مفيد، فاعل خير
her,لها
here,هنا
heritage,إرث
hero,بطل
herself,نفسها
hey,مهلا
hi,أهلا
hide,إخفاء
high,عالي
highlight,تسليط الضوء
highly,إدراك
highway,الطريق السريع
hill,تلة
him,له
himself,نفسه
hip,ورك او نتوء
hire,توظيف
his,له
historian,مؤرخ
historic,تاريخي
historical,تاريخي
history,التاريخ
hit,نجاح
hold,معلق
hole,الفجوة
holiday,عطلة
holy,مقدس
home,الصفحة الرئيسية
homeless,بلا مأوى
honest,صادق
honey,عسل
honor,شرف
hope,أمل
horizon,الأفق
horror,رعب
horse,حصان
hospital,مستشفى
host,مضيف
hot,الحار
hotel,الفندق
hour,ساعة
house,منزل
household,أسرة
housing,الإسكان
how,كيف
however,لكن
huge,تسربت
human,بشري
humor,دعابة
hundred,مائة
hungry,جوعان
hunter,هنتر
hunting,الصيد
hurt,الأذى
husband,الزوج
hypothesis,فرضية
I,أنا
ice,جليد
idea,فكرة
ideal,مثالي
identification,هوية
identify,تحديد
identity,هوية
ie,بمعنى آخر
if,لو
ignore,يتجاهل
ill,سوف
illegal,غير شرعي
illness,مرض
illustrate,يبين
image,صورة
imagination,خيال
imagine,يتصور
immediate,مباشر
immediately,فورا
immigrant,المهاجر
immigration,الهجرة
impact,تأثير
implement,ينفذ
implication,يتضمن
imply,لمح
importance,أهمية
important,الأهمية
impose,فرض
impossible,مستحيل
impress,اعجاب
impression,انطباع
impressive,محرج
improve,تحسن
improvement,تحسين
in,في
incentive,حافز
incident,حادث
include,يشمل
including,بما فيها
income,الإيرادات
incorporate,دمج او تجسيد
increase,يزيد
increased,زيادة
increasing,في ازدياد
increasingly,على نحو متزايد
incredible,لا يصدق
indeed,في الواقع
independence,استقلال
independent,مستقل
index,فهرس
Indian,هندي
indicate,يشير
indication,دلالة
individual,فرد
industrial,صناعي
industry,صناعة
infant,رضيع
infection,عدوى
inflation,التضخم
influence,تأثير
inform,يخبر
information,معلومة
ingredient,المكونات
initial,مبدئي
initially,في البداية
initiative,مبادر
injury,إصابة
inner,داخلي
innocent,البريء
inquiry,سؤال
inside,داخل
insight,تبصر
insist,يصر
inspire,يلهم
install,تثبيت
instance,جزء
instead,في حين أن
institution,المعهد
institutional,مؤسسية
instruction,تعليمات
instructor,المدرب
instrument,أداة
insurance,تأمين
intellectual,مفكر
intelligence,الذكاء
intend,اعتزم
intense,المكثف
intensity,الشدة
intention,الهدف
interaction,تفاعل
interest,فائدة
interested,مهتم
interesting,مثير للإعجاب
internal,داخلي
international,دولي
Internet,إنترنت
interpret,ختم
interpretation,ترجمة
intervention,تدخل قضائي
interview,مقابلة
into,إلى
introduce,تقديم
introduction,المقدمة
invasion,غزو
invest,استثمار
investigate,التحقيق
investigation,تحقيق
investigator,محقق
investment,استثمار
investor,المستثمر
invite,يدعو
involve,تنطوي
involved,متضمن
involvement,إشراكها
Iraqi,عراقي
Irish,الأيرلندية
iron,حديد
Islamic,الإسلامية
island,جزيرة
Israeli,إسرائيلي
issue,مشكلة
it,هو - هي
Italian,الإيطالية
item,غرض
its,إنه
itself,بحد ذاتها
jacket,السترة
jail,سجن
Japanese,اليابانية
jet,طائرة نفاثة
Jew,اليهودي
Jewish,يهودي
job,مهنة
join,انضم
joint,مشترك
joke,نكتة
journal,مجلة
journalist,صحافي
journey,رحلة
joy,مرح
judge,قاضي
judgment,حكم
juice,عصير
jump,القفز
junior,نجارة
jury,هيئة المحلفين
just,مجرد
justice,عدالة
justify,يبرر
keep,احتفظ
key,مفتاح
kick,ركلة
kid,طفل
kill,قتل
killer,القاتل
killing,قتل
kind,طيب القلب
king,ملك
kiss,قبلة
kitchen,مطبخ
knee,ركبة
knife,سكين
knock,طرق
know,أعرف
knowledge,المعرفه
lab,مختبر
label,ضع الكلمة المناسبة
labor,العمل
laboratory,مختبر
lack,قلة
lady,سيدة
lake,بحيرة
land,الأرض
landscape,المناظر الطبيعيه
language,لغة
lap,حجر
large,كبير
largely,إلى حد كبير
last,الاخير
late,متأخر
later,في وقت لاحق
Latin,اللاتينية
latter,أخير
laugh,يضحك
launch,يطلق
law,قانون
lawn,حاوية
lawsuit,دعوى قضائية
lawyer,محامي
lay,يضع
layer,طبقة
lead,قيادة
leader,زعيم
leadership,قيادة
leading,قيادة
leaf,ورقة الشجر
league,الدوري
lean,الخالية من
learn,يتعلم
learning,التعلم
least,الأقل
leather,جلد
leave,غادر
left,اليسار
leg,رجل
legacy,ميراث
legal,قانوني
legend,أسطورة
legislation,تشريع
legitimate,شرعي
lemon,ليمون
length,الطول
less,أقل
lesson,درس
let,يترك
letter,رسالة
level,مستوى
liberal,ليبرالية
library,مكتبة
license,رخصة
lie,راحه
life,الحياة
lifestyle,نمط الحياة
lifetime,أوقات الحياة
lift,مصعد
light,ضوء
like,مثل
likely,المحتمل أن
limit,حد
limitation,القيد
limited,محدود
line,خط
link,حلقة الوصل
lip,شفة
list,قائمة
listen,استمع
literally,حرفيا
literary,الأدبي
literature,المؤلفات
little,القليل
live,يعيش
living,معيشة
load,حمل
loan,يقرض
local,محلي
locate,حدد
location,موقعك
lock,قفل
long,طويل
long-term,طويل الأمد
look,بحث
loose,واسع
lose,تخسر
loss,خسارة
lost,ضائع
lot,قطعة أرض
lots,الكثير
loud,بصوت عال
love,حب
lovely,محبوب
lover,عاشق
low,قليل
lower,أدنى
luck,حظ
lucky,سعيد الحظ
lunch,غداء
lung,رئة
machine,آلة
mad,مجنون
magazine,مجلة
mail,بريد
main,الأساسية
mainly,خاصة
maintain,يحافظ على
maintenance,اعمال صيانة
major,رائد
majority,غالبية
make,صنع
maker,صانع
makeup,ميك أب
male,الذكر
mall,مجمع تجاري
man,رجل
manage,تدبير
management,إدارة
manager,إدارة
manner,طريقة
manufacturer,الصانع
manufacturing,تصنيع
many,عديدة
map,خريطة
margin,هامش
mark,علامة
market,سوق
marketing,تسويق
marriage,زواج
married,متزوج \ متزوجة
marry,الزواج
mask,قناع
mass,كتلة
massive,جسيم
master,رئيسي - سيد
match,تطابق
material,مواد
math,الرياضيات
matter,شيء
may,قد
maybe,يمكن
mayor,عمدة
me,أنا
meal,وجبة
mean,يقصد
meaning,المعنى
meanwhile,في أثناء
measure,قياس
measurement,قياس
meat,لحم
mechanism,آلية
media,وسائط
medical,طبي
medication,أدوية
